Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,146.759995,148.979996,146.759995,148.960007,147.76741,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,151.784973,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,152.757141,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,152.032974,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,153.347809,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,155.48941,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,155.090958,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,154.861862,20048500
2017-05-17,153.600006,154.570007,149.710007,150.25,149.662277,50767700
2017-05-18,151.270004,153.339996,151.130005,152.539993,151.943314,33568200
2017-05-19,153.380005,153.979996,152.630005,153.059998,152.461288,26960800
2017-05-22,154.0,154.580002,152.910004,153.990005,153.38765,22966400
2017-05-23,154.899994,154.899994,153.309998,153.800003,153.198395,19918900
2017-05-24,153.839996,154.169998,152.669998,153.339996,152.740189,19178000
2017-05-25,153.729996,154.350006,153.029999,153.869995,153.268112,19235600
2017-05-26,154.0,154.240005,153.309998,153.610001,153.00914,21701100
2017-05-30,153.419998,154.429993,153.330002,153.669998,153.068893,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,152.16246,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,152.580811,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,154.841934,27770700
